Title	URL	Orden	Assignees	Status	Épica	ID_HU	Historia de Usuario	Criterios de Aceptación	Entregable	ID_Tarea	Descripción de la Tarea	Área	Prioridad	Estimado (h)	Herramientas / Tecnologías
`PM-01 | PM1` Planificación y estimación — Estimación WBS	https://github.com/24BytesCo/prueba-tecnica-devsu/issues/44	1	24BytesCo	Done	EPIC-P PMO	PM-01	Como PM, necesito estimar el esfuerzo de todas las tareas y documentar supuestos.	Cada tarea tiene una estimación (h), supuestos y total agregado; se versiona el Excel.	Estimación WBS	PM1	Revisar WBS, ajustar 'Estimado (h)' y documentar supuestos/riesgos en /docs/plan/estimaciones.md.	PM	H	4	Excel/Sheets
`PM-02 | PM2` Organización en GitHub Projects — Proyecto de GitHub configurado	https://github.com/24BytesCo/prueba-tecnica-devsu/issues/45	2	24BytesCo	Todo	EPIC-P PMO	PM-02	Como PM, necesito subir y organizar el backlog en GitHub Projects con vistas y workflows.	Proyecto creado, campos configurados (Estado, Prioridad, Área, ID_HU/ID_Tarea), vistas Table/Board/Timeline, importación desde CSV, workflows básicos.	Proyecto de GitHub configurado	PM2	Crear Project, campos y vistas; importar CSV del WBS; configurar workflows; enlazar issues.	PM	H	3	GitHub Projects
`HU-Auth-01 | T-A1.3` Identidad (dos roles) — Identity + Roles	https://github.com/24BytesCo/prueba-tecnica-devsu/issues/46	3	24BytesCo	Todo	EPIC-A Auth	HU-Auth-01	Como sistema, necesito dos roles para autorización básica.	Existen roles Admin y Operador; usuarios de seed asignados a cada rol.	Identity + Roles	T-A1.3	Configurar ASP.NET Identity con Roles (Admin, Operador) y claims básicas; sin UI de admin.	Backend	H	3	ASP.NET Identity, EF Core
`HU-Cli-01 | T-B1.2` Modelo de BD — ERD + Migración	https://github.com/24BytesCo/prueba-tecnica-devsu/issues/47	4	24BytesCo	Todo	EPIC-B Clientes	HU-Cli-01	Como operador, quiero crear/gestionar clientes.	Persona/Cliente normalizados; unicidad identificación; índices.	ERD + Migración	T-B1.2	Diseñar Persona/Cliente y constraints (UK identificación, índices).	BD	H	3	ERD, EF Core
`HU-Cta-01 | T-C1.2` Modelo de BD — ERD + Migración	https://github.com/24BytesCo/prueba-tecnica-devsu/issues/48	5	24BytesCo	Todo	EPIC-C Cuentas	HU-Cta-01	Como operador, quiero abrir/gestionar cuentas.	Cuentas con PK, UK(numeroCuenta), FK(clienteId), checks e índices.	ERD + Migración	T-C1.2	Definir tabla Cuentas, constraints e índices; actualizar migración.	BD	H	3	ERD, EF Core
`HU-Mov-01 | T-D1.1` Reglas de dominio — Domain Spec	https://github.com/24BytesCo/prueba-tecnica-devsu/issues/49	6	24BytesCo	Todo	EPIC-D Movimientos	HU-Mov-01	Como operador, quiero registrar créditos/débitos con saldos correctos.	Sin sobregiro; límite diario; redondeo; saldo posterior correcto.	Domain Spec	T-D1.1	Documentar invariantes (signos, no sobregiro, tope diario, redondeo).	Backend	H	2	Domain Spec
`HU-Mov-01 | T-D1.2` Modelo de BD — ERD + Migración	https://github.com/24BytesCo/prueba-tecnica-devsu/issues/50	7	24BytesCo	Todo	EPIC-D Movimientos	HU-Mov-01	Como operador, quiero registrar créditos/débitos con saldos correctos.	Tabla Movimientos + índices (NumeroCuenta, Fecha DESC) + constraints.	ERD + Migración	T-D1.2	Definir tabla Movimientos, índices y tipos monetarios/fechas.	BD	H	3	ERD, EF Core
`SET-03 | BD8` Base de Datos - Migración inicial — Migración inicial + script	https://github.com/24BytesCo/prueba-tecnica-devsu/issues/51	8	24BytesCo	Todo	EPIC-0 Setup	SET-03	Como diseñador de BD, quiero un esquema normalizado para las entidades.	Dadas las entidades, entonces se alcanza 3FN; claves/índices y tipos correctos.	Migración inicial + script	BD8	Configurar DbContext, entidades mínimas y crear migración inicial.	Backend	H	3	EF Core, SQL}
`SET-00 | T-S0.1` Configuración de Entorno — Repo inicial + convenciones	https://github.com/24BytesCo/prueba-tecnica-devsu/issues/52	9	24BytesCo	Todo	EPIC-0 Setup	SET-00	Como desarrollador, necesito un repositorio inicial con convenciones.	Dado un repo vacío, entonces contiene .gitignore, README, .editorconfig y guía de ramas/commits.	Repo inicial + convenciones	T-S0.1	Crear repo, .gitignore, README, .editorconfig, CONTRIBUTING (GitFlow/Conventional).	DevOps	H	1	Git, EditorConfig
`SET-01 | T-S0.2` Normas de ramas y commits — Documento GitFlow + Conventional Commits	https://github.com/24BytesCo/prueba-tecnica-devsu/issues/53	10	24BytesCo	Todo	EPIC-0 Setup	SET-01	Como equipo, necesitamos un documento de GitFlow y Conventional Commits para estandarizar el trabajo.	Existe guía de ramas (feature/hotfix/release), convención de commits (Conventional Commits), formato de títulos y cuerpo, ejemplo de PR.	Documento GitFlow + Conventional Commits	T-S0.2	Redactar /docs/CONTRIBUTING.md con GitFlow, nomenclatura de ramas, plantillas de commit/PR.	Docs	H	1	Markdown, Git
